ID,Sieve0,Sieve1,Sieve2,Sieve3,Sieve4,Sieve5,Sieve6,Sieve7
1,100.0000,22.43,10.56,3.42,0.80,0.00,0.00,0.00
2,100.0000,46.67,28.1000,17.8100,10.0400,1.4300,0.1700,0.0000
3,100.0000,72.66,30.1800,13.5200,6.9100,0.9100,0.3000,0.0000
4,100.0000,64.55,28.5900,9.0900,4.4400,0.5100,0.1000,0.0000
5,100.0000,2.80,1.0000,0.9000,0.5000,0.3000,0.1000,0.0000
6,100.0000,31.68,7.5800,0.7400,0.3200,0.0000,0.0000,0.0000
7,100.0000,36.79,10.1600,2.7400,1.1200,0.1000,0.0000,0.0000
8,100.0000,7.0100,3.6000,1.1000,0.3000,0.1000,0.0000,0.0000
9,100.0000,0.9100,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000
10,100.0000,15.1000,1.0000,0.2000,0.1000,0.0000,0.0000,0.0000
11,100.0000,28.2100,8.3500,1.6300,0.7100,0.0000,0.0000,0.0000
12,100.0000,29.5800,13.6100,3.9900,2.2500,0.1000,0.0000,0.0000
13,100.0000,13.3900,3.7100,0.8200,0.3100,0.0000,0.0000,0.0000
14,100.0000,43.9900,18.6300,6.2800,2.6000,0.1100,0.0000,0.0000
15,100.0000,45.6200,12.5300,3.0500,1.5300,0.2000,0.2000,0.0000
16,100.0000,0.8100,0.3900,0.1100,0.0500,0.0000,0.0000,0.0000
17,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,100.0000,27.9400,6.4500,2.9700,0.9200,0.0000,0.0000,0.0000
19,100.0000,3.6200,1.1100,0.1000,0.0000,0.0000,0.0000,0.0000
20,100.0000,28.1100,8.4500,1.5300,0.4100,0.0000,0.0000,0.0000
21,100.0000,89.5700,56.8300,18.7700,7.8200,0.5200,0.0000,0.0000
22,100.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,100.0000,0.6400,0.2100,0.0500,0.0200,0.0000,0.0000,0.0000
24,100.0000,1.6000,1.2000,0.1000,0.0000,0.0000,0.0000,0.0000
25,100.0000,79.0900,41.9200,16.3700,7.2100,0.6200,0.0000,0.0000
26,100.0000,13.1600,2.5500,1.1200,0.2000,0.0000,0.0000,0.0000
27,100.0000,33.4700,4.8300,1.7500,0.5100,0.1000,0.1000,0.0000
28,100.0000,2.4600,0.6100,0.6100,0.6100,0.1000,0.1000,0.0000
29,100.0000,4.1600,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
30,100.0000,53.1900,20.0600,5.6600,1.3400,0.2100,0.1000,0.0000
31,100.0000,6.2800,2.6300,0.4100,0.1000,0.1000,0.1000,0.0000
32,100.0000,10.0700,1.5100,0.8100,0.2000,0.1000,0.0000,0.0000
33,100.0000,0.9100,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000
34,100.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,100.0000,5.6300,0.7000,0.5000,0.2000,0.1000,0.0000,0.0000
36,100.0000,94.8800,60.5000,24.7600,10.1400,0.9400,0.0000,0.0000
37,100.0000,84.2700,55.1000,22.5000,9.0600,0.9400,0.0000,0.0000
38,100.0000,88.4600,45.0700,16.9200,7.1600,1.1900,0.3000,0.0000
39,100.0000,69.4200,39.6400,15.7900,5.6300,0.4000,0.0000,0.0000
40,100.0000,68.5700,31.6300,11.7500,5.6200,0.6000,0.0000,0.0000
41,100.0000,21.2100,3.9400,0.8100,0.4000,0.0000,0.0000,0.0000
42,100.0000,0.3000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
43,100.0000,40.2600,14.5000,4.1600,1.5200,0.2000,0.0000,0.0000
44,100.0000,9.4000,2.6300,0.6100,0.2000,0.1000,0.0000,0.0000
45,100.0000,32.9600,10.0800,2.9200,0.8100,0.1000,0.0000,0.0000
46,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,100.0000,51.5000,16.5500,3.8300,1.2400,0.2100,0.1000,0.0000
48,100.0000,69.3800,30.9300,7.1200,2.7500,0.5100,0.1000,0.0000
49,100.0000,95.3300,69.5700,29.8000,11.8400,1.2500,0.2100,0.0000
50,100.0000,58.4000,19.7700,8.3000,3.3800,0.6100,0.2000,0.0000
51,100.0000,3.7300,3.6300,0.0000,0.0000,0.0000,0.0000,0.0000
52,100.0000,14.2100,4.5400,1.8100,0.7100,0.4000,0.2000,0.0000
53,100.0000,81.5800,57.2600,27.1600,12.4200,1.7900,0.4200,0.0000
54,100.0000,14.5700,1.6100,0.7000,0.3000,0.2000,0.1000,0.0000
